Series Name,Series Code,Country Name,Country Code,2019 [YR2019],2020 [YR2020],2021 [YR2021]
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Kenya,KEN,22.4,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Tanzania,TZA,40.6,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Uganda,UGA,40.5,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Rwanda,RWA,0,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Burundi,BDI,12.3,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,South Sudan,SSD,77.4,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,Somalia,SOM,198.2,..,..
"Cost of business start-up procedures, female (% of GNI per capita)",IC.REG.COST.PC.FE.ZS,"Congo, Dem. Rep.",COD,16.3,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Kenya,KEN,22.4,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Tanzania,TZA,40.6,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Uganda,UGA,40.5,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Rwanda,RWA,0,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Burundi,BDI,12.3,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,South Sudan,SSD,77.4,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,Somalia,SOM,198.2,..,..
"Cost of business start-up procedures, male (% of GNI per capita)",IC.REG.COST.PC.MA.ZS,"Congo, Dem. Rep.",COD,16.3,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Kenya,KEN,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Tanzania,TZA,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Uganda,UGA,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Rwanda,RWA,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Burundi,BDI,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,South Sudan,SSD,..,..,..
"Credit card ownership, female  (% age 15+)",fin7.t.a.2,Somalia,SOM,..,..,..
